Name,Brand,Color,Fuel,Gearbox,Year,Km,Fuel_consumption,Co2_emission,Doors,Price
Skoda Superb Combi,Skoda,Black-Magic,Diesel,Automatique,2019,87472,4.6,121,5,23 199
Nissan LEAF 2019,Nissan,Noir Métallisé,Electrique,Automatique,2020,18464,0.0,0,5,22 999
Audi TT,Audi,Blanc Ibis,Essence,Manuelle,2016,87033,6,138,3,23 999
Lexus IS,Lexus,Gris Mercure,Hybride essence,Automatique,2018,81394,4.6,101,4,24 499
Jaguar E-Pace,Jaguar,Firenze Red,Diesel,Manuelle,2018,79770,5.4,143,5,24 699
Mitsubishi Outlander,Mitsubishi,Blanc,Hybride essence rechargeable,Auto...,2019,53593,2,40,5,24 999
Tesla MODEL 3,Tesla,Blanc Nacré Multicouches,Electrique,Automatique,2019,112690,0.0,0,4,25 999
Volvo V60,Volvo,,Diesel,Automatique,2019,118176,,,,25 099
Toyota Prius+,Toyota,Noir,Hybride essence,Automatique,2020,102150,4.6,132,5,25 999
Mitsubishi Outlander,Mitsubishi,,Hybride essence rechargeable,Auto...,2020,23717,,,,26 999
Mazda CX-30,Mazda,Jet Black,Hybride essence,Automatique,2021,18870,6.1,138,5,25 499
Renault Trafic,Renault,Blanc,Diesel,Manuelle,2019,49500,5.6,160,4,25 399
Mercedes Classe C,Mercedes,Noir,Diesel,Automatique,2019,33913,4.8,112,4,26 999
Opel Grandland,Opel,Gris Artense,Essence,Automatique,2022,21192,6.5,145,5,25 599
Renault Koleos,Renault,Noir Metal,Essence,Automatique,2022,6355,6,155,5,27 999
Toyota Proace City Verso,Toyota,,Essence,Automatique,2021,37182,,,,28 499
Lynk & Co 1,Lynk,Bleu,Hybride essence rechargeable,Auto...,2021,23958,1.2,27,5,28 999
Volkswagen Golf SW,Volkswagen,Blanc Pur,Essence,Manuelle,2023,1021,5,128,5,26 999
Toyota RAV4,Toyota,,Hybride essence,Automatique,2019,80639,,,,28 899
Mercedes Classe A Berline,Mercedes,Blanc digital,Essence,Automatique,2021,25100,5,137,4,28 399
Cupra Formentor,Cupra,Blanc Nevada,Diesel,Manuelle,2022,11803,4.7,125,5,29 399
Audi A3,Audi,,Essence,Manuelle,2021,15947,,,,28 699
Peugeot 208,Peugeot,Gris Artense,Essence,Manuelle,2019,54782,4.7,108,5,11 799
Citroën C3,Citroën,Blanc Banquise,Essence,Manuelle,2017,87444,4.6,103,5,11 799
Renault Scenic 3,Renault,Gris Platine,Diesel,Manuelle,2016,117466,4.1,105,5,11 899
Peugeot 2008,Peugeot,Blanc Banquise,Essence,Manuelle,2017,63258,4.4,103,5,11 899
Citroën C3 Aircross,Citroën,Natural White,Essence,Manuelle,2018,51652,5.1,116,5,11 999
DS DS4 CROSSBACK,DS,Blanc Nacré,Essence,Manuelle,2017,119473,5,114,5,11 999
Peugeot 208,Peugeot,Rouge Rubi,Essence,Manuelle,2017,48871,4.5,104,5,11 999
Fiat Tipo,Fiat,Bronze Magnetico,Essence,Manuelle,2019,58654,6.4,146,5,11 999
Citroën C3 Aircross,Citroën,Gris Acier,Essence,Manuelle,2018,87435,5,115,5,11 999
Ford C-Max,Ford,Noir Shadow,Essence,Manuelle,2018,104079,5.7,129,5,11 999
Peugeot 2008,Peugeot,Gris Artense,Essence,Manuelle,2017,70048,4,114,5,11 999
Peugeot 2008,Peugeot,Rouge Ultimate,Essence,Manuelle,2017,89043,4.4,103,5,11 999
Peugeot 308 SW,Peugeot,Bleu Magnetic,Essence,Automatique,2015,135374,4.9,119,5,11 999
